exp;L;B;G;run;primes_found;primes_found_atomic;time;time_atomic
22;128;128;16384;0;1;295947;0,0940;0,0938
22;128;128;16384;1;1;295947;0,0940;0,0937
22;128;128;16384;2;0;295947;0,0943;0,0938
22;128;128;16384;3;0;295947;0,0944;0,0936
22;128;128;16384;4;0;295947;0,0940;0,0935
22;128;128;16384;5;0;295947;0,0940;0,0954
22;128;128;16384;6;0;295947;0,0940;0,0936
22;128;128;16384;7;0;295947;0,0940;0,0937
22;128;128;16384;8;1;295947;0,0938;0,0935
22;128;128;16384;9;1;295947;0,0956;0,0938
22;128;256;32768;0;1;295947;0,0807;0,0819
22;128;256;32768;1;0;295947;0,0809;0,0804
22;128;256;32768;2;0;295947;0,0807;0,0802
22;128;256;32768;3;0;295947;0,0823;0,0803
22;128;256;32768;4;0;295947;0,0809;0,0811
22;128;256;32768;5;0;295947;0,0809;0,0804
22;128;256;32768;6;0;295947;0,0808;0,0804
22;128;256;32768;7;0;295947;0,0807;0,0804
22;128;256;32768;8;0;295947;0,0806;0,0827
22;128;256;32768;9;0;295947;0,0807;0,0804
22;256;16;4096;0;0;295947;0,1718;0,1720
22;256;16;4096;1;1;295947;0,1716;0,1782
22;256;16;4096;2;1;295947;0,1715;0,1704
22;256;16;4096;3;0;295947;0,1716;0,1706
22;256;16;4096;4;1;295947;0,1717;0,1703
22;256;16;4096;5;1;295947;0,1717;0,1703
22;256;16;4096;6;1;295947;0,1719;0,1704
22;256;16;4096;7;1;295947;0,1715;0,1702
22;256;16;4096;8;1;295947;0,1716;0,1703
22;256;16;4096;9;1;295947;0,1717;0,1705
22;256;32;8192;0;1;295947;0,1100;0,1093
22;256;32;8192;1;1;295947;0,1098;0,1094
22;256;32;8192;2;0;295947;0,1100;0,1092
22;256;32;8192;3;0;295947;0,1100;0,1094
22;256;32;8192;4;0;295947;0,1101;0,1094
22;256;32;8192;5;0;295947;0,1100;0,1094
22;256;32;8192;6;1;295947;0,1101;0,1094
22;256;32;8192;7;1;295947;0,1099;0,1093
22;256;32;8192;8;0;295947;0,1098;0,1092
22;256;32;8192;9;1;295947;0,1099;0,1093
22;256;64;16384;0;0;295947;0,0938;0,0932
22;256;64;16384;1;1;295947;0,0938;0,0935
22;256;64;16384;2;0;295947;0,0939;0,0934
22;256;64;16384;3;1;295947;0,0936;0,0932
22;256;64;16384;4;1;295947;0,0938;0,0934
22;256;64;16384;5;1;295947;0,0938;0,0932
22;256;64;16384;6;0;295947;0,0938;0,0932
22;256;64;16384;7;1;295947;0,0937;0,0932
22;256;64;16384;8;0;295947;0,0937;0,0932
22;256;64;16384;9;1;295947;0,0937;0,0932
22;256;128;32768;0;0;295947;0,0831;0,0823
22;256;128;32768;1;0;295947;0,0832;0,0824
22;256;128;32768;2;1;295947;0,0829;0,0824
22;256;128;32768;3;1;295947;0,0829;0,0823
22;256;128;32768;4;0;295947;0,0832;0,0825
22;256;128;32768;5;0;295947;0,0830;0,0823
22;256;128;32768;6;1;295947;0,0831;0,0823
22;256;128;32768;7;1;295947;0,0831;0,0824
22;256;128;32768;8;1;295947;0,0831;0,0823
22;256;128;32768;9;1;295947;0,0831;0,0824
22;256;256;65536;0;1;295947;0,0770;0,0763
22;256;256;65536;1;0;295947;0,0770;0,0764
22;256;256;65536;2;1;295947;0,0770;0,0764
22;256;256;65536;3;1;295947;0,0771;0,0763
22;256;256;65536;4;1;295947;0,0771;0,0764
22;256;256;65536;5;1;295947;0,0769;0,0762
22;256;256;65536;6;1;295947;0,0770;0,0764
22;256;256;65536;7;1;295947;0,0769;0,0764
22;256;256;65536;8;1;295947;0,0771;0,0764
22;256;256;65536;9;0;295947;0,0771;0,0765
22;512;16;8192;0;0;295947;0,1299;0,1290
22;512;16;8192;1;1;295947;0,1300;0,1289
22;512;16;8192;2;1;295947;0,1301;0,1290
22;512;16;8192;3;1;295947;0,1298;0,1290
22;512;16;8192;4;1;295947;0,1298;0,1290
22;512;16;8192;5;1;295947;0,1301;0,1291
22;512;16;8192;6;1;295947;0,1302;0,1291
22;512;16;8192;7;1;295947;0,1301;0,1290
22;512;16;8192;8;1;295947;0,1301;0,1290
22;512;16;8192;9;1;295947;0,1301;0,1290
22;512;32;16384;0;0;295947;0,1019;0,1013
22;512;32;16384;1;0;295947;0,1080;0,1018
22;512;32;16384;2;0;295947;0,1020;0,1013
22;512;32;16384;3;1;295947;0,1020;0,1012
22;512;32;16384;4;0;295947;0,1020;0,1013
22;512;32;16384;5;1;295947;0,1020;0,1013
22;512;32;16384;6;0;295947;0,1020;0,1013
22;512;32;16384;7;0;295947;0,1021;0,1014
22;512;32;16384;8;0;295947;0,1020;0,1013
22;512;32;16384;9;0;295947;0,1018;0,1013
22;512;64;32768;0;1;295947;0,0822;0,0814
22;512;64;32768;1;1;295947;0,0822;0,0815
22;512;64;32768;2;1;295947;0,0823;0,0815
22;512;64;32768;3;1;295947;0,0819;0,0814
22;512;64;32768;4;1;295947;0,0825;0,0815
22;512;64;32768;5;1;295947;0,0821;0,0813
22;512;64;32768;6;1;295947;0,0823;0,0815
22;512;64;32768;7;0;295947;0,0823;0,0814
22;512;64;32768;8;0;295947;0,0822;0,0814
22;512;64;32768;9;1;295947;0,0820;0,0814
22;512;128;65536;0;1;295947;0,0798;0,0789
22;512;128;65536;1;1;295947;0,0799;0,0790
22;512;128;65536;2;1;295947;0,0799;0,0790
22;512;128;65536;3;0;295947;0,0800;0,0791
22;512;128;65536;4;1;295947;0,0799;0,0791
22;512;128;65536;5;1;295947;0,0800;0,0792
22;512;128;65536;6;1;295947;0,0799;0,0791
22;512;128;65536;7;1;295947;0,0798;0,0791
22;512;128;65536;8;1;295947;0,0798;0,0790
22;512;128;65536;9;1;295947;0,0798;0,0790
22;512;256;131072;0;1;295947;0,0756;0,0748
22;512;256;131072;1;1;295947;0,0754;0,0748
22;512;256;131072;2;0;295947;0,0754;0,0748
22;512;256;131072;3;0;295947;0,0756;0,0748
22;512;256;131072;4;1;295947;0,0755;0,0747
22;512;256;131072;5;1;295947;0,0756;0,0749
22;512;256;131072;6;1;295947;0,0756;0,0749
22;512;256;131072;7;1;295947;0,0754;0,0749
22;512;256;131072;8;1;295947;0,0756;0,0748
22;512;256;131072;9;1;295947;0,0755;0,0749
24;32;16;512;0;0;1077871;8,4265;8,4777
24;32;16;512;1;0;1077871;8,4262;8,4770
24;32;16;512;2;0;1077871;8,4243;8,4752
24;32;16;512;3;0;1077871;8,4251;8,4785
24;32;16;512;4;1;1077871;8,4129;8,4627
24;32;16;512;5;0;1077871;8,4120;8,4627
24;32;16;512;6;0;1077871;8,4115;8,4631
24;32;16;512;7;1;1077871;8,4113;8,4624
24;32;16;512;8;1;1077871;8,4128;8,4645
24;32;16;512;9;1;1077871;8,4127;8,5224
24;32;32;1024;0;0;1077871;4,3542;4,3828
24;32;32;1024;1;1;1077871;4,5389;4,6373
24;32;32;1024;2;0;1077871;4,4675;4,4189
24;32;32;1024;3;0;1077871;4,4181;4,4521
24;32;32;1024;4;0;1077871;4,4377;4,4542
24;32;32;1024;5;0;1077871;4,4269;4,4531
24;32;32;1024;6;0;1077871;4,4296;4,5705
24;32;32;1024;7;0;1077871;4,3329;4,3597
24;32;32;1024;8;0;1077871;4,3599;4,3858
24;32;32;1024;9;0;1077871;4,3593;4,3856
24;32;64;2048;0;0;1077871;2,3140;2,3195
24;32;64;2048;1;0;1077871;2,3228;2,3358
24;32;64;2048;2;0;1077871;2,3300;2,3285
24;32;64;2048;3;0;1077871;2,3129;2,3296
24;32;64;2048;4;1;1077871;2,3288;2,3359
24;32;64;2048;5;0;1077871;2,3136;2,3200
24;32;64;2048;6;0;1077871;2,3246;2,3417
24;32;64;2048;7;0;1077871;2,3200;2,3236
24;32;64;2048;8;0;1077871;2,3131;2,3322
